manuf,model,retail,volt,no batteries,bat Ahr,bat lb,motor type,sound rating,hi cfm,lo cfm,hi mph,lo mph,weight,price,source
Ryobi,P21110,Home Depot,18,1,4,1.63,brushed,65,250,250,90,90,4.73,119,https://www.homedepot.com/p/RYOBI-ONE-18V-90-MPH-250-CFM-Cordless-Battery-Leaf-Blower-with-4-0-Ah-Battery-and-Charger-P21110/315543023#overlay
Ryobi,P21110,Home Depot,18,0,4,1.63,brushed,65,250,250,90,90,4.73,89.97,https://www.homedepot.com/p/RYOBI-ONE-18V-90-MPH-250-CFM-Cordless-Battery-Leaf-Blower-Tool-Only-P21011BTL/315847506
Ryobi,P2190,Home Depot,18,1,2,0.9,brushed,65,200,200,90,90,4.5,109,https://www.homedepot.com/p/RYOBI-ONE-18V-90-MPH-200-CFM-Cordless-Battery-Leaf-Blower-Sweeper-with-2-0-Ah-Battery-and-Charger-P2190/303180069
Ryobi,P2190,Home Depot,18,0,2,0.9,brushed,65,200,200,90,90,4.5,99,https://www.homedepot.com/p/RYOBI-ONE-18V-90-MPH-200-CFM-Cordless-Battery-Leaf-Blower-Sweeper-Tool-Only-P2109BTL/303365519
Ryobi,RY404100,Home Depot,40,2,4,3,brushless,57,730,730,190,190,9.7,329,https://www.homedepot.com/p/RYOBI-40V-HP-Brushless-Whisper-Series-190-MPH-730-CFM-Cordless-Battery-Jet-Fan-Leaf-Blower-with-2-4-0-Ah-Batteries-Charger-RY404100/314600140?source=shoppingads&locale=en-US&pla&mtc=SHOPPING-RM-RMP-GGL-D28I-028_037_OUTDR_PW_ACC-BI-RYOBI_2574-NA-PMAX-NA-NA-MK680142200-NA-NBR-2574-CON-NA-FY23_Always_On&cm_mmc=SHOPPING-RM-RMP-GGL-D28I-028_037_OUTDR_PW_ACC-BI-RYOBI_2574-NA-PMAX-NA-NA-MK680142200-NA-NBR-2574-CON-NA-FY23_Always_On-71700000113756914--&gclid=CjwKCAjwo9unBhBTEiwAipC11-rPuwDge-_KC-DmxtBG736j4wdTUA1mXCGoHuX1ZBSKPoy1Xynu-BoCZj4QAvD_BwE&gclsrc=aw.ds
Ryobi,RY404130,Home Depot,40,1,4,3,brushless,55,600,600,155,155,9.7,249,https://www.homedepot.com/p/RYOBI-40V-HP-Brushless-Whisper-Series-155-MPH-600-CFM-Cordless-Battery-Leaf-Blower-with-4-0-Ah-Battery-and-Charger-RY404130/317312648?source=shoppingads&locale=en-US&pla&mtc=SHOPPING-RM-RMP-GGL-D28I-028_037_OUTDR_PW_ACC-BI-RYOBI_2574-NA-PMAX-NA-NA-MK680142200-NA-NBR-2574-CON-NA-FY23_Always_On&cm_mmc=SHOPPING-RM-RMP-GGL-D28I-028_037_OUTDR_PW_ACC-BI-RYOBI_2574-NA-PMAX-NA-NA-MK680142200-NA-NBR-2574-CON-NA-FY23_Always_On-71700000113756914--&gclid=CjwKCAjwo9unBhBTEiwAipC11-mMb5YmUuse2ACzHw_l-2u5TWRsR1KOxrT4NZQdtmTT-7CPGnM46hoCZ28QAvD_BwE&gclsrc=aw.ds
Ryobi,RY404140,Home Depot,40,1,6,4.5,brushless,57,650,650,160,160,10.4,279,https://www.homedepot.com/p/RYOBI-40V-HP-Brushless-Whisper-Series-160-MPH-650-CFM-Cordless-Battery-Leaf-Blower-with-6-0-Ah-Battery-and-Charger-RY404140/319045509
Ryobi,RY404150,Home Depot,40,2,4,3,brushless,65,600,600,100,100,15.2,449,https://www.homedepot.com/p/RYOBI-40V-HP-Brushless-100-MPH-600-CFM-Cordless-Leaf-Blower-Mulcher-Vacuum-with-2-4-0-Ah-Batteries-and-Charger-RY404150/317348667
Ryobi,RY404170,Home Depot ,40,2,6,4.5,brushless,59,730,730,165,165,30,429,https://www.homedepot.com/p/RYOBI-40V-HP-Brushless-Whisper-Series-165-MPH-730-CFM-Cordless-Battery-Backpack-Blower-with-2-6-0-Ah-Batteries-and-Charger-RY404170/317348668
Ryobi,RY404180,Home Depot,40,2,6,4.5,brushless,57,730,730,190,190,9.7,628,https://www.homedepot.com/p/RYOBI-40V-HP-Brushless-Whisper-Series-730-CFM-Blower-and-Backpack-Battery-w-2-6-0-Ah-Batteries-Lawn-Leaf-Bag-RY404180-LB/323933088
Ryobi,RY40470,Home Depot,40,1,4,3,brushless,59,550,550,125,125,9.7,149,https://www.homedepot.com/p/RYOBI-40V-Brushless-125-MPH-550-CFM-Cordless-Battery-Whisper-Series-Jet-Fan-Blower-with-4-0-Ah-Battery-and-Charger-RY40470/311417033?source=shoppingads&locale=en-US&pla&mtc=SHOPPING-RM-RMP-GGL-D28I-028_037_OUTDR_PW_ACC-BI-RYOBI_2574-NA-PMAX-NA-NA-MK680142200-NA-NBR-2574-CON-NA-FY23_Always_On&cm_mmc=SHOPPING-RM-RMP-GGL-D28I-028_037_OUTDR_PW_ACC-BI-RYOBI_2574-NA-PMAX-NA-NA-MK680142200-NA-NBR-2574-CON-NA-FY23_Always_On-71700000113756914--&gclid=CjwKCAjwo9unBhBTEiwAipC11w7MAQ_EvDrzgNwTHd1XgiZ5xzHNC5eeTxbc_qg-t1NBojS_jBw6sxoCYwIQAvD_BwE&gclsrc=aw.ds
Ryobi,RY40480,Home Depot,40,1,4,3,unspecified,68,525,525,110,110,9.4,169,https://www.homedepot.com/p/RYOBI-40V-110-MPH-525-CFM-Cordless-Battery-Variable-Speed-Jet-Fan-Leaf-Blower-with-4-0-Ah-Battery-and-Charger-RY40480/313378858?source=shoppingads&locale=en-US&pla&mtc=SHOPPING-RM-RMP-GGL-D28I-028_037_OUTDR_PW_ACC-BI-RYOBI_2574-NA-PMAX-NA-NA-MK680142200-NA-NBR-2574-CON-NA-FY23_Always_On&cm_mmc=SHOPPING-RM-RMP-GGL-D28I-028_037_OUTDR_PW_ACC-BI-RYOBI_2574-NA-PMAX-NA-NA-MK680142200-NA-NBR-2574-CON-NA-FY23_Always_On-71700000113756914--&gclid=CjwKCAjwo9unBhBTEiwAipC117E4ytqO-aGfyog7uA1dTIWatnQNP5jB6q1V-QEFR_P3QaXka-PeyBoCTOkQAvD_BwE&gclsrc=aw.ds
Skil,BL4713C-11,Lowes,40,1,2.5,2.2,brushless,64,530,530,120,120,10.5,119,https://www.lowes.com/pd/SKIL/5013787835v
Snapper,SXDBL82K,Lowes,82,0,2,3.4,brushless,96,500,275,125,68,8.5,149,https://www.lowes.com/pd/Snapper-Snapper-XD-82V-Max-Cordless-550-CFM-Leaf-Blower-Tool/5001931841
Stihl,BGA 100,Ace Hardware,36,0,2.6,1.8,brushless,56,494,447,167,128,7.3,409.99,https://www.acehardware.com/departments/lawn-and-garden/outdoor-power-equipment/leaf-blowers/7000357?x429=true&utm_source=google&utm_medium=organic-shopping&utm_campaign=organic-shopping&irclickid=xN7T8O3a3xyNTdlXfUU-bRguUkFyviy8expG1U0&irgwc=1&utm_medium=Affiliate&utm_source=Impact&utm_campaign=1258399&utm_term=611504
Stihl,BGA 57,Ace Hardware,36,1,4,2.6,brushless,64,365,365,123,123,7.7,199.99,https://www.acehardware.com/departments/lawn-and-garden/outdoor-power-equipment/leaf-blowers/7006615?x429=true&utm_source=google&utm_medium=organic-shopping&utm_campaign=organic-shopping&irclickid=xN7T8O3a3xyNTdlXfUU-bRguUkFyM0WsexpG1U0&irgwc=1&utm_medium=Affiliate&utm_source=Impact&utm_campaign=1258399&utm_term=611504
Stihl,BGA 57,Stihl,36,0,4,2.6,brushless,64,365,365,123,123,7.7,159.99,https://www.stihlusa.com/products/blowers-and-shredder-vacs/battery-blowers/bga57/
Stihl,SHA 56,Ace Hardware,36,1,5.2,2.9,brushless,62,300,300,125,125,10,259.99,https://www.acehardware.com/departments/lawn-and-garden/outdoor-power-equipment/leaf-blowers/7020921?x429=true&utm_source=google&utm_medium=organic-shopping&utm_campaign=organic-shopping&irclickid=xN7T8O3a3xyNTdlXfUU-bRguUkFyvhXQexpG1U0&irgwc=1&utm_medium=Affiliate&utm_source=Impact&utm_campaign=1258399&utm_term=611504
Toro,51821,Home Depot,60,1,2,1.5,brushless,63,565,565,110,110,10,189,Toro 60-Volt Max Lithium-Ion Brushless Cordless 110 MPH 565 CFM Leaf Blower - 2.0 Ah Battery and Charger Included 51821 - The Home Depot
Toro,51821,Toro,60,1,2,1.5,brushless,63,565,565,110,110,10,169.99,Electric Brushless Leaf Blower | 60V MAX* | 51821 | Toro
Toro,51822,Home Depot,60,1,2,3.31,brushless,63,605,605,157,157,12.8,299,Toro 157 MPH 605 CFM 60-Volt Max Lithium-Ion Cordless Brushless Leaf Blower 4.0 Ah Battery and Charger Included 51822 - The Home Depot
Toro,51822,Home Depot,60,1,4,2.3,brushless,63,605,605,157,157,12.8,299,https://www.homedepot.com/p/Toro-157-MPH-605-CFM-60-Volt-Max-Lithium-Ion-Cordless-Brushless-Leaf-Blower-4-0-Ah-Battery-and-Charger-Included-51822/319726743
Toro,51822,Toro,60,1,2,3.31,brushless,63,605,605,157,157,12.8,299.99,Electric Battery Brushless Leaf Blower 51822 | 60V MAX* | Yard Tools | Toro
Toro,51881,Home Depot,60,1,2,3.31,brushless,,490,490,100,100,20.15,299,"Toro 60V Max Lithium-Ion Cordless String Trimmer and Leaf Blower Combo Kit (2-Tool), 2.0 Ah Battery and Charger Included 51881 - The Home Depot"
Toro,66100,Home Depot,60,0,2,3.31,brushless,107,730,730,160,160,17.75,449.99,Toro Flex-Force 160 MPH 730 CFM 60V Max Lithium-Ion Cordless Revolution Backpack Leaf Blower - Battery/Charger Not Included 66100 - The Home Depot
Toro,66100,Toro,60,0,2,3.31,brushless,107,730,730,160,160,17.75,399.99,Revolution Backpack Leaf Blower | 60V MAX* Electric Battery | 66100 | Toro
Worx,WG543,Worx,20,1,4,1.3,brushless,62,410,190,130,95,3.8,169,https://www.worx.com/20v-leafjet-cordless-leaf-blower-wg543.html
